tx_rate,rx_rate,tx_time,rx_time,avg_transmission_time_per_pkt
100,100,0.017694,8.263440,1312.793283
200,100,0.013968,8.252354,2357.415504
400,100,0.017500,8.210206,4384.613099
800,100,0.023431,8.137806,9905.053460
1000,100,0.016722,8.147086,12080.248735
1500,100,0.015199,8.145086,17265.621869
2000,100,0.015685,8.065414,20027.980598
2500,100,0.017856,8.015060,25352.431373
3000,100,0.014907,8.007148,29293.216590
4000,100,0.018343,7.791389,44569.871661
5000,100,0.016431,7.767303,53806.114041
6000,100,0.015944,7.704074,63205.971159
7000,100,0.019347,7.494014,80743.638994
8000,100,0.013093,7.698919,84349.830476
100,200,0.040833,4.296106,2409.431187
200,200,0.034417,4.278539,4510.234234
400,200,0.036329,4.272141,8812.094012
800,200,0.030852,4.228947,17337.171012
1000,200,0.042713,4.173859,22348.953608
1500,200,0.029847,4.169755,33683.204862
2000,200,0.033056,4.101988,41601.755791
2500,200,0.036588,4.022877,51440.237082
3000,200,0.030366,4.039356,60681.530210
4000,200,0.031921,3.918236,75696.572104
5000,200,0.033736,3.793486,106645.986856
6000,200,0.039796,3.585576,129827.289055
7000,200,0.033250,3.604069,163418.813404
8000,200,0.027481,3.586775,147396.285880
100,400,0.062028,2.194773,4756.365269
200,400,0.060699,2.178266,10274.192011
400,400,0.068833,2.165910,16860.145819
800,400,0.057037,2.129683,31927.608722
1000,400,0.060116,2.111380,42043.249790
1500,400,0.063194,2.048516,62230.386657
2000,400,0.069838,1.971171,86773.630069
2500,400,0.053505,1.985331,103139.962605
3000,400,0.067343,1.871428,115139.485221
4000,400,0.068185,1.765889,169014.604888
5000,400,0.063875,1.686903,216695.210922
6000,400,0.057167,1.617690,212001.725552
7000,400,0.080986,1.287683,479198.055034
8000,400,0.078944,1.230442,443058.281026
100,800,0.156917,1.103438,10238.845929
200,800,0.101079,1.096076,17741.384641
400,800,0.135949,1.072525,37795.094682
800,800,0.127361,1.035808,61358.618026
1000,800,0.128398,1.015109,79609.250237
1500,800,0.157046,0.921431,130423.398606
2000,800,0.108111,0.929970,151092.717999
2500,800,0.145671,0.819657,232583.137919
3000,800,0.141167,0.779850,279811.910191
4000,800,0.166153,0.592942,457471.462477
5000,800,0.185241,0.374940,1649822.636402
6000,800,0.118968,0.536019,2484888.045807
7000,800,0.120782,0.441954,2279924.172354
8000,800,0.092815,0.517433,3505908.590794
100,1000,0.181417,0.876039,12099.132765
200,1000,0.130602,0.881220,21356.420541
400,1000,0.152736,0.842731,46770.411665
800,1000,0.105616,0.829882,68835.323016
1000,1000,0.159606,0.793097,107271.186512
1500,1000,0.146838,0.741396,148203.849554
2000,1000,0.241792,0.592604,296100.080731
2500,1000,0.182681,0.605178,291293.451883
3000,1000,0.187931,0.528817,735127.116541
4000,1000,0.208282,0.353266,1255317.838545
5000,1000,0.145477,0.441095,2654472.830250
6000,1000,0.150079,0.310002,2347714.452679
7000,1000,0.118481,0.372067,2728429.558742
8000,1000,0.114398,0.293736,5043755.270212
100,1500,0.217681,0.588213,17349.527749
200,1500,0.239329,0.569780,34229.772820
400,1500,0.218815,0.553729,60621.754807
800,1500,0.170431,0.535419,113445.189448
1000,1500,0.253458,0.485544,164652.974225
1500,1500,0.247463,0.440174,217034.150906
2000,1500,0.297565,0.343356,453667.731446
2500,1500,0.333148,0.247380,839490.954227
3000,1500,0.293417,0.221998,2054428.427204
4000,1500,0.189162,0.275035,2887297.481617
5000,1500,0.158245,0.257366,3749814.089697
6000,1500,0.149009,0.217701,4285329.654982
7000,1500,0.101889,0.282238,3730821.194556
8000,1500,0.108403,0.240155,4003791.680857
100,2000,0.300968,0.439069,27285.235224
200,2000,0.332046,0.426891,41706.819174
400,2000,0.350130,0.401868,89488.670428
800,2000,0.409759,0.341813,186369.798443
1000,2000,0.389958,0.319919,224778.920984
1500,2000,0.298861,0.298664,430470.716459
2000,2000,0.360597,0.219049,903961.814011
2500,2000,0.278477,0.226396,2127207.038560
3000,2000,0.263667,0.194350,3550876.252838
4000,2000,0.230449,0.149859,4786975.001634
5000,2000,0.182745,0.163236,4561816.140319
6000,2000,0.149269,0.168215,4293529.629230
7000,2000,0.113523,0.197525,6464251.508353
8000,2000,0.124606,0.126736,5484343.264298
100,2500,0.344847,0.350083,28204.208548
200,2500,0.449944,0.335398,53935.486058
400,2500,0.387917,0.316072,107101.478992
800,2500,0.340537,0.291081,174149.255418
1000,2500,0.465111,0.235558,301504.285208
1500,2500,0.551671,0.144664,728170.224401
2000,2500,0.362412,0.176086,2401245.559321
2500,2500,0.421167,0.088975,3348591.121784
3000,2500,0.178306,0.219822,4547523.467216
4000,2500,0.208315,0.142789,4594497.113600
5000,2500,0.174870,0.140127,4491416.516159
6000,2500,0.131380,0.155366,6334191.183912
7000,2500,0.088472,0.201148,5588976.464107
8000,2500,0.126486,0.100076,5724476.516491
100,3000,0.535500,0.284910,37097.505332
200,3000,0.455583,0.277153,53461.636999
400,3000,0.392519,0.265262,120542.180915
800,3000,0.478852,0.218720,225917.931750
1000,3000,0.742389,0.139280,579100.412697
1500,3000,0.409241,0.166486,1195960.352317
2000,3000,0.457819,0.106796,3195397.972096
2500,3000,0.345722,0.119183,4220605.035040
3000,3000,0.243801,0.140720,5161688.106944
4000,3000,0.194931,0.129690,4739620.107085
5000,3000,0.164241,0.126838,6581997.274393
6000,3000,0.085977,0.190687,5681556.789471
7000,3000,0.068477,0.195662,4961070.652823
8000,3000,0.080468,0.157938,4938444.298286
100,4000,0.735130,0.211683,49344.651246
200,4000,0.667009,0.200299,86097.854743
400,4000,0.555949,0.189155,169369.453381
800,4000,0.937481,0.102053,623149.860471
1000,4000,0.802245,0.097498,1075079.148082
1500,4000,0.515278,0.100005,3469469.716223
2000,4000,0.393426,0.096113,3780821.625943
2500,4000,0.390477,0.069565,5700453.262466
3000,4000,0.242051,0.102836,6510610.203280
4000,4000,0.180250,0.108894,5099621.475804
5000,4000,0.178144,0.078979,7338793.339050
6000,4000,0.113523,0.114968,6450684.724654
7000,4000,0.088051,0.131118,6366836.894136
8000,4000,0.094208,0.106134,6189542.696057
100,5000,0.860546,0.167505,61950.565941
200,5000,0.890977,0.156600,123122.761596
400,5000,0.742486,0.141405,208244.974311
800,5000,1.090315,0.067412,2016008.553978
1000,5000,0.816796,0.076264,2551870.258272
1500,5000,0.512005,0.083414,3038682.656547
2000,5000,0.286060,0.105127,4994934.432207
2500,5000,0.374597,0.061333,5582135.360499
3000,5000,0.280259,0.071160,6706070.624437
4000,5000,0.225394,0.060690,5488741.952677
5000,5000,0.174903,0.069463,6533810.314504
6000,5000,0.083287,0.112896,7686799.828294
7000,5000,0.111255,0.079109,5991041.898274
8000,5000,0.107301,0.067773,9589476.013022
100,6000,0.823796,0.137810,78017.532634
200,6000,1.141292,0.125507,135720.218380
400,6000,1.229116,0.097435,304112.178772
800,6000,1.060370,0.057727,3802111.476017
1000,6000,0.773630,0.067588,3391036.382785
1500,6000,0.561167,0.058257,5443677.233738
2000,6000,0.477977,0.046157,7066379.747079
2500,6000,0.274653,0.077039,5772158.328526
3000,6000,0.319958,0.047884,5917492.277454
4000,6000,0.173542,0.077181,8564181.657312
5000,6000,0.148134,0.070097,7039723.853804
6000,6000,0.159606,0.045694,7133886.457768
7000,6000,0.136435,0.046616,6841835.852554
8000,6000,0.104644,0.056764,8972685.150368
100,7000,0.986417,0.119398,80026.208571
200,7000,1.124861,0.108769,161751.372229
400,7000,1.175546,0.085153,365303.123270
800,7000,1.193079,0.039264,2379683.551055
1000,7000,0.685579,0.063037,3867783.792181
1500,7000,0.642898,0.039338,4343861.377853
2000,7000,0.448875,0.046329,5877375.524265
2500,7000,0.294583,0.062412,6310264.429874
3000,7000,0.185565,0.077660,7024592.763662
4000,7000,0.209093,0.053495,7494150.300847
5000,7000,0.198106,0.038275,6310432.824827
6000,7000,0.114074,0.064280,6717478.236282
7000,7000,0.057718,0.090583,7406054.247176
8000,7000,0.113653,0.043593,5965703.140641
100,8000,1.712991,0.098259,99953.426392
200,8000,1.581384,0.086148,200795.700423
400,8000,1.773139,0.054083,867264.743036
800,8000,1.016977,0.045264,4009772.841934
1000,8000,0.868259,0.043262,3686520.536961
1500,8000,0.497356,0.054051,4508202.360816
2000,8000,0.491847,0.032322,5266382.221493
2500,8000,0.383153,0.034644,7292443.340693
3000,8000,0.275884,0.047130,6871505.635585
4000,8000,0.261787,0.026037,10638145.566731
5000,8000,0.158407,0.048225,6627342.184593
6000,8000,0.157468,0.038169,8758711.159155
7000,8000,0.042097,0.090493,9817394.041493
8000,8000,0.079917,0.063764,8900703.265705
