tx_rate,rx_rate,pkt_success,n0_awake_time,n1_awake_time,avg_trans_time_per_pkt,(sec)
0.98,0.98,1,2.017333333,2.000416667,17950.6087,17
0.983,0.98,1,2.018333333,1.989833333,24411.34783,24
0.986,0.98,1,2.008166667,2.006208333,31234.73913,31
0.989,0.98,1,1.987833333,1.995875,46910.3913,46
0.992,0.98,1,1.93325,2.003458333,67267.34783,67
0.995,0.98,1,1.942083333,2.011166667,53095.91304,53
0.998,0.98,1,1.613458333,1.990958333,215474.6957,215
0.98,0.983,1,1.737291667,1.692083333,17502.43478,17
0.983,0.983,1,1.725416667,1.70625,31053.34783,31
0.986,0.983,1,1.717958333,1.700166667,37062.30435,37
0.989,0.983,1,1.702333333,1.6895,49155.08696,49
0.992,0.983,1,1.669708333,1.68025,81806.17391,81
0.995,0.983,1,1.616208333,1.696041667,79598.3913,79
0.998,0.983,1,1.310916667,1.6785,266245.7826,266
0.98,0.986,1,1.445333333,1.392291667,29558,29
0.983,0.986,1,1.450875,1.402541667,35651.65217,35
0.986,0.986,1,1.436625,1.405583333,40467.95652,40
0.989,0.986,1,1.404875,1.384291667,63050.3913,63
0.992,0.986,1,1.3825,1.392083333,81590.3913,81
0.995,0.986,1,1.300291667,1.404458333,123779.5217,123
0.998,0.986,1,1.08325,1.408416667,267605.4783,267
0.98,0.989,1,1.171875,1.0835,32811.69565,32
0.983,0.989,1,1.153541667,1.096416667,37444.52174,37
0.986,0.989,1,1.166541667,1.093,56473.04348,56
0.989,0.989,1,1.141083333,1.087875,66679.47826,66
0.992,0.989,1,1.1195,1.099958333,96957.6087,96
0.995,0.989,1,1.033958333,1.096375,169838.8696,169
0.998,0.989,1,0.8955,1.10025,261422.0435,261
0.98,0.992,1,0.903791667,0.778958333,41953.13043,41
0.983,0.992,1,0.961541667,0.798541667,89868,89
0.986,0.992,1,0.873291667,0.810041667,44946.08696,44
0.989,0.992,1,0.888208333,0.789458333,97026.65217,97
0.992,0.992,1,0.8655,0.801416667,143974.2174,143
0.995,0.992,1,0.778041667,0.8045,233629.5217,233
0.998,0.992,1,0.56525,0.795125,419071.6522,419
0.98,0.995,1,0.790125,0.486333333,105559.3913,105
0.983,0.995,1,0.730625,0.490458333,105951.1304,105
0.986,0.995,1,0.858208333,0.488083333,202298.4783,202
0.989,0.995,1,0.678125,0.490666667,149126.8261,149
0.992,0.995,1,0.633125,0.484083333,170160.7391,170
0.995,0.995,1,0.564875,0.490166667,236994.0435,236
0.998,0.995,1,0.363625,0.468708333,680646.1739,680
0.98,0.998,1,0.759833333,0.197208333,187040.9565,187
0.983,0.998,1,0.606375,0.196041667,197324.5217,197
0.986,0.998,1,0.67125,0.17075,244115,244
0.989,0.998,0.913043478,0.975041667,0.140708333,491357.1304,491
tx_rate,rx_rate,pkt_success,n0_awake_time,n1_awake_time,avg_trans_time_per_pkt,(sec)
0.992,0.998,0.956521739,0.885291667,0.193041667,626188.1739,626
0.995,0.998,0.956521739,0.6855,0.158166667,816390.4783,816
0.998,0.998,0.434782609,0.294041667,0.146291667,880473.7391,880
