=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.02.27 14:02:26 =~=~=~=~=~=~=~=~=~=~=~=

RFM69 radio init OK!
one circle time, sleep_time, awake time, set_sleepTime, set_buffer, set_sendtoWait, set_send, set_randomTime_in_sendtoWait, set_waitAvailableTimeout, waitAvailableTimeout_within_numTimes
47.00, 35, 12.00, 0.00, 0.00, 13.00, 3.00, 0.00, 10.00, 589
106.00, 98, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 313
45.00, 34, 11.00, 0.00, 0.00, 13.00, 4.00, 0.00, 9.00, 511
24.00, 11, 13.00, 0.00, 0.00, 14.00, 4.00, 0.00, 10.00, 694
74.00, 65, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 328
170.00, 159, 11.00, 2.00, 0.00, 10.00, 4.00, 0.00, 6.00, 361
93.00, 82, 11.00, 0.00, 0.00, 11.00, 2.00, 0.00, 9.00, 428
82.00, 73, 9.00, 0.00, 0.00, 9.00, 2.00, 0.00, 7.00, 349
88.00, 77, 11.00, 2.00, 0.00, 10.00, 4.00, 0.00, 6.00, 367
27.00, 17, 10.00, 0.00, 0.00, 11.00, 4.00, 0.00, 7.00, 400
18.00, 10, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 310
33.00, 21, 12.00, 2.00, 0.00, 10.00, 4.00, 0.00, 6.00, 391
17.00, 4, 13.00, 0.00, 0.00, 13.00, 2.00, 0.00, 11.00, 602
22.00, 10, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 615
80.00, 72, 8.00, 0.00, 0.00, 8.00, 2.00, 2.00, 4.00, 260
58.00, 46, 12.00, 0.00, 0.00, 13.00, 5.00, 0.00, 8.00, 535
59.00, 51, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 309
31.00, 20, 11.00, 2.00, 0.00, 8.00, 2.00, 0.00, 6.00, 339
109.00, 100, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 322
59.00, 46, 13.00, 0.00, 0.00, 14.00, 4.00, 0.00, 10.00, 679
37.00, 28, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 337
76.00, 63, 13.00, 2.00, 0.00, 10.00, 2.00, 0.00, 8.00, 491
21.00, 12, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 314
14.00, 3, 11.00, 2.00, 0.00, 10.00, 4.00, 0.00, 6.00, 382
109.00, 100, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 322
49.00, 38, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 510
27.00, 15, 12.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 547
45.00, 35, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 429
35.00, 23, 12.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 483
68.00, 57, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 470
18.00, 8, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 460
75.00, 67, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 341
54.00, 40, 14.00, 2.00, 0.00, 13.00, 4.00, 0.00, 9.00, 525
53.00, 43, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 445
51.00, 42, 9.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 368
32.00, 20, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 638
33.00, 24, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 331
56.00, 43, 13.00, 2.00, 0.00, 11.00, 2.00, 0.00, 9.00, 458
157.00, 144, 13.00, 0.00, 0.00, 14.00, 4.00, 0.00, 10.00, 698
14.00, 6, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 287
47.00, 33, 14.00, 2.00, 0.00, 12.00, 2.00, 0.00, 10.00, 594
150.00, 138, 12.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 530
22.00, 9, 13.00, 0.00, 0.00, 14.00, 4.00, 0.00, 10.00, 677
69.00, 57, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 622
43.00, 31, 12.00, 0.00, 0.00, 12.00, 2.00, 2.00, 8.00, 569
16.00, 6, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 454
102.00, 90, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 611
36.00, 25, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 555
161.00, 149, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 639
45.00, 36, 9.00, 0.00, 0.00, 9.00, 2.00, 0.00, 7.00, 339
98.00, 87, 11.00, 2.00, 0.00, 10.00, 4.00, 0.00, 6.00, 381
