tx_rate,rx_rate,pkt_success,n0_awake_time,n1_awake_time,avg_transmission_time_per_pkt
100,100,1.0,8.251551217076349,8.260138933732236,1344.8070745341695
200,200,1.0,4.3083102600598915,4.30261670940955,4099.597423709852
300,300,1.0,2.9219718154355263,2.9313161964084746,7686.393598361869
400,400,1.0,2.214909857898868,2.2012152711504656,11956.904924254073
500,500,1.0,1.797087680225488,1.7679910444924607,22915.051261971057
600,600,1.0,1.5165161505646176,1.4772916448599556,43474.56903145291
700,700,1.0,1.3095418352361354,1.2567895117965422,55088.90537190785
800,800,1.0,1.1493069807179892,1.1171059919054103,67921.66310634179
900,900,1.0,1.0304681532571298,0.9886363565614034,80761.77273760592
1000,1000,1.0,0.9480640794587633,0.8801880160125181,98844.63413693549
1100,1100,1.0,0.8793320247911952,0.8015827725376312,138327.2589610781
1200,1200,1.0,0.7980129610381813,0.7443700783096667,151614.12227307505
1500,1500,1.0,0.6928212982453199,0.588420618778819,285197.8642859556
2000,2000,1.0,0.517855310318412,0.4312491065456222,319712.41577544506
2500,2500,0.9743589743589743,0.4932513227900076,0.3536286677979761,655868.5200759699
3000,3000,0.8461538461538461,0.4406586865480161,0.265578354538853,809110.106845296
